episod,total_reward
654,-247.7353711122238
655,-246.37585324007864
656,-287.2760872947165
657,-249.5917440898278
658,-276.0724675283292
659,-273.4889777659003
660,-248.89208043611927
661,-253.6773400099998
662,-268.1910365431358
663,-249.88324082906192
664,-210.97172815494957
665,-255.61640261428477
666,-262.7192356005288
667,-210.97169990790997
668,-210.97155629006267
669,-210.97168630374574
670,-210.97171690596187
671,-210.9707688680777
672,-210.97166633500697
673,-210.97168090137865
674,-210.9715518035583
675,-210.97162740169165
676,-236.76243769626507
677,-239.65568958041797
678,-210.97168834280703
679,-263.76093220986365
680,-235.8121899351217
681,-262.5220931349537
682,-236.11409841678346
683,-260.2195819181941
684,-210.9717094119861
685,-210.9714864857814
686,-210.9716386885458
687,-251.82837614648702
688,-210.9716547339279
689,-210.97169879147572
690,-210.9715938309068
691,-258.5675828186774
692,-210.9712589695325
693,-210.97114087790067
694,-210.97167756150847
695,-210.96610314923416
696,-237.86203636926908
697,-254.66614025728748
698,-220.80618172727674
699,-269.4160256236581
700,-262.06460185129555
701,-264.362176690637
702,-253.84950222858984
703,-254.665061504086
704,-252.72656280825336
705,-212.66524619416876
706,-254.7364065917188
707,-211.72886175507708
708,-196.32360084674036
709,-244.3564996434755
710,-211.08381367711553
711,-232.10389820871677
712,-202.58723491993248
713,-193.74735701502897
714,-238.542913654422
715,-13.662665696901946
716,-202.13452413164737
717,-182.93384155652723
718,-154.76292946681696
719,-216.53334610440012
720,-157.69300640233428
721,-262.0935956790946
722,-258.1956668725404
723,48.08111954265721
724,-273.34063444275955
725,-257.28644139849155
726,-232.65174044249986
727,-256.76793977783757
728,-267.2885200337781
729,-243.25452198235124
730,-252.56807973382274
731,-256.02210207358905
732,-260.8113414752692
733,-254.15679079568713
734,-260.23604648316916
735,-228.69095248082186
736,-269.1833422359906
737,-253.3197289439846
738,-230.4898348085955
739,-256.09068791902354
740,-246.6075968062956
741,-251.72765543912533
742,-255.4857502313816
743,-247.46303872663393
744,-243.58719393056663
745,-257.92584539113534
746,-257.1732418890602
747,-253.3671452793852
748,-250.92101352987942
749,-234.55063135341896
750,-244.20773104497607
751,-262.48194343438706
752,-239.61462366777135
753,-246.0601292778506
754,-268.265040986608
755,-241.8374275930452
756,-244.64148360375123
757,-234.4408403105992
758,-246.39800140584114
759,-244.89605377969391
760,-245.9983406980063
761,-242.93116833891534
762,-258.77376657023353
763,-265.1482601670024
764,-261.027491898552
765,-255.9876532610094
766,-258.6319813881684
767,-247.74804725339362
768,-258.87064562235105
769,-260.3853958692795
770,-243.26830029234384
771,-242.24189654510798
772,-259.8386565316791
773,-255.7382711645391
774,-260.5774678507156
775,-255.79850767083582
776,-244.3658279166082
777,-250.69194056754552
778,-262.8288500626472
779,-246.72296036951204
780,-248.2674475293602
781,-230.26060288676618
782,-246.52986773501135
783,-256.35555698628593
784,-235.22717608313573
785,-260.6564509242712
786,-254.76133897380672
787,-265.58937719082184
788,-255.75205408914417
789,-279.85125774194
790,-257.57674015824347
791,-249.66515556848833
792,-251.13984807340725
793,-254.10723015168452
794,-272.97224817954657
795,-259.8530553371707
796,-210.9717196872149
797,-210.97168861414275
798,-210.97168139657697
799,-260.22794516489955
800,-210.97146780265956
801,-210.97167142860027
802,-270.13193367636484
803,-210.97164333995428
804,-210.9653552222829
805,-210.97169206079343
806,-263.0701844010088
807,-210.97167801773733
808,-210.9716859576088
809,-210.97160118577378
810,-210.97166269952052
811,-210.96828704707107
812,-240.85741191154654
813,-210.97150056622894
814,-210.9716898807463
815,-210.9716273648479
816,-210.9716278953343
817,-296.2359629774525
818,-239.21061602188576
819,-237.97397874392476
820,-233.89180933898712
821,-210.7721049972595
822,-210.9717134247457
823,-260.0245665198903
824,-264.64974742573696
825,-276.21215213655773
826,-236.6619469119868
827,-210.9716333479212
828,-210.97158494533224
829,-238.6266267357867
830,-238.69214206155817
831,-210.97157753358127
832,-254.3943399058056
833,-254.405349900008
834,-275.8101517829431
835,-235.77461829959907
836,-235.42514713117185
837,-235.18293394561326
838,-254.07189969526834
839,-279.3422977266653
840,-254.64923918057363
841,-245.60227701221973
842,-259.7456498885956
843,-261.1894963751266
844,-236.64070622106613
845,-257.4952897294414
846,-264.69388642322633
847,-235.94863134784444
848,-210.97166849016025
849,-210.97165064136203
850,-252.84201752310594
851,-259.0723279469261
852,-289.20253301361527
853,-242.88125807285303
854,-255.28210166378304
855,-246.94459998259532
856,-259.02845064453226
857,-280.0596263148842
858,-258.6584827518252
859,-235.262383576697
860,-255.27311163070192
861,-221.37347420823033
862,-247.14944028779763
863,-273.2596558160087
864,-279.278449551907
865,-210.97172663571683
866,-210.97160144257901
867,-249.85484417013984
868,-243.16792307666074
869,-258.6836057345841
870,-258.57747575970143
871,-241.81829366065142
872,-239.86283616187436
873,-264.8680336839261
874,-243.5810553177752
875,-259.70528934524685
876,-260.3098754909751
877,-243.76914680104545
878,-276.04381924980805
879,-236.9724393403401
880,-240.63161431591982
881,-210.97157652850004
882,-210.96654976746305
883,-210.9715700529278
884,-249.27965566711015
885,-210.97174309355813
886,-210.97163056080458
887,-210.97164223099776
888,-240.77549945624185
889,-210.97168212291095
890,-240.7788608265976
891,-210.97170331590806
892,-240.92064114940771
893,-210.97171356774638
894,-210.97165178074778
895,-210.9716647680479
896,-210.9716049382272
